Cultivar,Tree,Pit,View,FileName,Area,Circularity,ConvexArea,Eccentricity,EquivDiameter,MajorAxisLength,MaxFeretDiameter,MinorAxisLength,MinFeretDiameter,OrthogonalDiameter,MaxFeretDiameterControl,Perimeter,Solidity,FormFactor,Roundness,Compactness,AspectRatio,a01,a02,a03,a04,a05,a06,a07,a08,b01,b02,b03,b04,b05,b06,b07,b08,c01,c02,c03,c04,c05,c06,c07,c08,d01,d02,d03,d04,d05,d06,d07,d08
SAI,a,1,VD,SAI_a_001_VD.png,1.50221854652398,0.718082203676268,1239.4257192196,0.909559904094536,1.38299821340048,2.14843987879995,2.26707044977865,0.892833250416242,0.902692290833156,0.903008774527317,1855.80629377099,5.12341144456255,0.992216989964973,0.719158330291434,0.414378131778681,0.643722092038701,2.51057410927746,1,0.00457196128464893,0.0800256684272957,-0.00385152658788173,0.0248140821185889,-0.00555356753817867,0.0136227930316565,-0.00262433428495632,1.73472347597681e-17,0.00218271624694918,0.00405609994994667,-0.00097758652098908,-0.00144231296597561,-0.000540506237462835,-8.85148301522465e-05,-0.00065434543545083,-2.94902990916057e-17,-0.00690599309467493,-0.00274337768224467,-0.00209606827285737,0.000491378560788618,-0.00175400318095898,0.00118646498701936,-0.00171448152363189,0.486567565801379,0.0126813552339168,0.035490315526063,0.0206328170757029,0.00217279281267576,0.00191949641517839,-0.00106883282557742,0.000298466968039854
SAI,a,1,VL,SAI_a_001_VL.png,1.47939315796519,0.708625191981228,1220.85472085239,0.916824787032118,1.37245104500375,2.17648687334934,2.27571860958008,0.869048914332899,0.879347534699752,0.881470910486555,1862.93370789194,5.1181490712832,0.992004546532419,0.709688238493279,0.397632267718345,0.630580897045212,2.58172854317328,1,0.000360356401643769,0.0806389312994479,-0.00758348680662985,0.0267523482742345,-0.00564644152764164,0.0135103577982339,-0.00301737654964874,-6.15826833971767e-17,1.16659421446893e-05,-0.00319457551371607,0.00100498797696719,0.00162101652162319,-0.000570480826385877,-0.00015814683176037,-0.000947066524659036,1.30754782001752e-16,0.00160663556968303,0.00468702448094076,0.00144815019242,0.000970084690519036,-0.00286781240687698,-0.00181933942928966,0.000975115319688818,0.472617717341442,0.0282517918625215,0.0377044304675458,0.0126503656463429,0.00817368690792237,-0.00131006819396918,-3.8538608757009e-05,-0.000778392787520779
SAI,a,2,VD,SAI_a_002_VD.png,1.22957027246763,0.713813307277301,1025.9710084598,0.901089720282178,1.25121440766024,1.90630125340733,2.05288162069316,0.826634554016762,0.823314668124657,0.834772765436805,1680.52015757027,4.64869358167639,0.981097817247944,0.71499232074326,0.430804673878637,0.656357123735728,2.45921010566146,1,0.000414510118626394,0.0721761018548417,-0.00178630886506753,0.0263936420475529,-0.000194983496256473,0.0154420782640328,0.00339070521653729,-5.55111512312578e-17,0.0116269352960213,-0.00241238045293552,0.0080508896137619,-0.00435675155625472,0.00274763997089858,-0.00415162966843173,0.00203178436458695,1.05818132034585e-16,0.0206067742304919,-0.0082265416204218,-0.00248549785840744,-0.00535164440200628,-0.00183798225465519,-0.00344243538161104,0.00133763803531477,0.495466148647012,-0.00339661128207152,0.0304473045544975,0.00389527118673836,-0.0075757426960811,-0.00783664082976087,-0.00394556720426609,-0.00219785934822286
SAI,a,2,VL,SAI_a_002_VL.png,1.28804606198392,0.734441191829332,1068.17626824967,0.901515578749642,1.28062140445891,1.95011596783636,2.06082242162162,0.843906148104234,0.840400084652029,0.841191713846126,1687.06668510762,4.69069240203167,0.987148552125097,0.735643410625849,0.431241587418482,0.656689871566847,2.44988435775129,1,0.00086678581993464,0.0716137242095047,-7.61796749544726e-05,0.0228670057465951,-0.00194789769942184,0.0148117655045284,0.000289779128002795,-6.93889390390723e-17,-0.00101634721321531,-0.00123237561863782,-0.00270991162503447,0.00173619715718881,-0.00281664825678717,0.000776877123333929,-0.00232295941107923,1.30104260698261e-16,-0.00568773212160326,0.00132314276311209,-0.00414621692527315,0.00462184526984463,-0.00220312510472033,-0.00269350310021873,-0.00025900850131018,0.504238966277651,-0.0105158519155723,0.0421848817519762,0.00709422930600644,-0.00529069809458444,-0.0012419455603391,-0.00465066922634519,-0.00229564048670441
SAI,a,3,VD,SAI_a_003_VD.png,1.77233016891334,0.808959809045069,1466.83769021381,0.856210497067658,1.50219867440616,2.09445174628887,2.18264945953102,1.08205058094464,1.09154889326752,1.09250935755023,1786.73557081063,5.24319517802888,0.989137377531093,0.810144419740431,0.514415481636218,0.71722763585644,1.99783136359148,1,-0.00114033677462353,0.0644696272568119,-0.00497409515075925,0.0183655692587419,-0.00450644147688549,0.0104878112641754,-0.00234545948748895,-1.38777878078145e-17,0.00754359980158948,0.00224644332074382,0.00832198120097433,-0.0052298613897776,0.00698796161521282,-0.00445855621622381,0.00796528628084165,-6.93889390390723e-18,0.0173511432844868,-0.00779094588407925,0.00122420880325636,-0.00825351110169704,0.00692765182990068,-0.00244798427551271,0.0031377300948587,0.588434078849237,0.0252520197039576,0.0396892741250222,0.00645915449068218,0.000291016081036279,0.00286559734639829,-0.00352851473383322,-0.00088578232808038
SAI,a,3,VL,SAI_a_003_VL.png,1.75161766197835,0.784017818260583,1449.24514147445,0.873156221340381,1.49339508318709,2.15084837775446,2.20544773878072,1.04841054710946,1.04838377321873,1.05442224170047,1805.40217126268,5.29476839062268,0.989444653758851,0.785154717946632,0.482091907947628,0.694328386246471,2.09161723981086,1,-0.00851882391302158,0.0632896201887417,-0.00577369108323788,0.0110336720405522,-0.00202076669584496,0.00241745073629886,-0.00401369181498134,-5.55111512312578e-17,-0.0192511813900895,0.00217516120065785,-0.0134791063175194,-0.0034885158416102,-0.0109725907077396,-3.13984450965667e-05,-0.00890304044418805,5.55111512312578e-17,-0.0348367000689085,-0.0147203759519876,-0.00672288708145395,0.00129577995424605,-0.00572661248957191,0.00629443245169379,-0.00145990041747694,0.561902108058108,0.0255932786041201,0.0500357275194633,-0.00649701238225083,0.00641581821996334,0.0038295243889372,0.00468575343039844,0.00285211247199063
SAI,a,4,VD,SAI_a_004_VD.png,1.52214618359025,0.635731732306131,1257.29555643028,0.935954854666349,1.39214105385008,2.3561594622315,2.51284945574479,0.829650922122153,0.8231490893482,0.823327970199227,2057.09139320546,5.4814091840531,0.991089844793665,0.636622202712002,0.349105846806572,0.590851797667208,3.05206375429798,1,0.00207948086903013,0.0828342209919076,-0.00414317863865266,0.0291684656655123,-0.00332269203970461,0.0155485361255205,-0.000925841081401601,3.46944695195361e-17,-0.0110724869829393,0.00486003951285819,-0.0104264115066324,0.00172096062024547,-0.0057347052677554,-2.49125326239434e-05,-0.00493233569698463,-7.28583859910259e-17,-0.0283433659380574,0.000509960124933062,-0.0029113960507162,-0.000990700593717818,-0.000446496973492323,-0.00452735507738173,-0.00192752076852507,0.415435545140167,0.014615679445341,0.0330996484204357,0.010020112528134,0.00069095503663096,-0.00179716021368501,-0.000367719009262533,-0.000666508988100429
SAI,a,4,VL,SAI_a_004_VL.png,1.56101664001678,0.613096941679974,1299.02197445471,0.933816322296794,1.40980428289142,2.40137520853911,2.53893715683813,0.859098739288507,0.846488701633362,0.863441647063456,2078.35151021188,5.65261465975886,0.983750754630753,0.613929688514232,0.344665334724559,0.587082051100661,2.94048493661731,1,-0.00249321822377491,0.0789742080421253,-0.00467548730028071,0.0237249507201023,-0.00777131306150098,0.00963138156255568,-0.00542644370864594,-8.32667268468867e-17,0.0213703974268044,0.000495949756819027,0.0218476075333365,-2.57190376519809e-05,0.0141340760205162,0.00265043915494763,0.00987995815891592,2.22044604925031e-16,0.0757452026007482,0.0050402844737759,0.00905376231294568,0.00321095077950878,0.00283453739239258,0.00405079244944676,0.00141923937058685,0.412570660185039,0.0134339640719326,0.0391274912034639,0.0112452117230185,0.005859596621567,0.00191232804141843,0.000447633329741123,0.000344635140385417
SAI,a,5,VD,SAI_a_005_VD.png,1.9411428452035,0.671645287278684,1612.14906453247,0.916762370167738,1.57211317419988,2.49517770205877,2.7047270147288,0.996656424870893,1.01998182178648,1.02074227369355,2214.18991958685,6.02264207707091,0.985703602058839,0.672501490947421,0.396976366810407,0.630060605664572,2.64976486664136,1,0.00665965535115494,0.0802073495503096,-0.000765263655617455,0.0286362999141236,-0.00261162614668226,0.0148777843370634,-0.00269487502059204,9.71445146547012e-17,0.00627370821196432,-0.000824210510570928,0.00793361354218293,0.000460649688751568,0.00687815539225996,0.00125799431594906,0.00569025920930593,-1.59594559789866e-16,0.0242626663844761,0.00264394355627315,0.00927153091655199,0.00293878222567904,0.00544801103880974,-0.00101415231710219,0.00164972310641787,0.459100733362734,0.00149648689275388,0.024436093261991,0.0135610900261706,-5.21789141768428e-05,0.00335577810802741,-0.000846761274139146,0.00326193307234786
SAI,a,5,VL,SAI_a_005_VL.png,2.00890427196901,0.686276007595683,1665.84530515772,0.913491282700329,1.59931746712726,2.52465968290741,2.68227110682367,1.02717874713667,1.02374777113048,1.03852632771743,2195.79279532473,6.06122304217187,0.987230619528338,0.687145291897178,0.401294928759985,0.633478435907636,2.58276659458313,1,0.00474602712432062,0.0760790513653501,-0.00349817662009014,0.022185884043698,-0.00368577520885982,0.0104703540477852,-0.00043226443558727,5.55111512312578e-17,0.0211334533189981,-0.00509558366771093,0.0167723647769539,-0.00442164599191755,0.0106835146989493,-0.00247244807031939,0.00910815978467581,-1.00613961606655e-16,0.0419165492688194,-0.013226007289201,0.00512907537391985,-0.00240198415777802,0.0014334894880095,-0.000437597529006333,0.00284386078376882,0.472644361179251,-0.000479712139993277,0.0373041240345258,0.0102238656857701,0.00171596660888973,-0.00207298613261377,-0.0012404301678162,-0.00562908411062872
