Project,Shape,Serial,FileName,Area,Circularity,ConvexArea,Eccentricity,EquivDiameter,MajorAxisLength,MaxFeretDiameter,MinorAxisLength,MinFeretDiameter,OrthogonalDiameter,MaxFeretDiameterControl,Perimeter,Solidity,FormFactor,Roundness,Compactness,AspectRatio,a01,a02,a03,a04,a05,a06,a07,a08,b01,b02,b03,b04,b05,b06,b07,b08,c01,c02,c03,c04,c05,c06,c07,c08,d01,d02,d03,d04,d05,d06,d07,d08
VAL,LGC,1,VAL_LGC_1.png,1.46411875,1,1172.6075,0.019300785,1.365347535,1.36547674375,1.36794611125,1.36522238625,1.36125,1.36692802375,1093.693284,4.28178,0.9988807,1.003546424,0.999810757,0.999905374,1.000744799,1,-0.000426259,-0.000223935,3.83e-05,0.000331007,8.45e-05,-0.001771617,8.65e-06,-1.11e-16,2.93e-05,-4.11e-05,8.56e-06,5.09e-05,4.66e-05,-0.000543796,4.38e-06,-1.11e-16,-4.11e-05,-1.42e-05,-1.75e-08,-3.39e-05,1.51e-05,-0.000541104,1.82e-05,0.999808921,-0.000333118,9.22e-05,8.52e-05,0.000266359,-1.06e-05,0.001736696,-9.78e-05
VAL,LGC,10,VAL_LGC_10.png,2.9127984375,1,2332.17875,0.011533632,1.92579598,1.92586193,1.928685595,1.92573383125,1.92125,1.92788947125,1542.311577,6.04073,0.99916816,1.003093573,0.999931513,0.999965756,1.000412951,1,-0.000189563,-0.000365024,-4.58e-05,0.000341316,0.00015336,0.001296532,-1.57e-05,2.22e-16,-0.000396181,-8.06e-05,-5.72e-05,0.000179832,6.3e-05,-0.001310739,3.22e-06,-2.22e-16,0.000355501,-2.6e-05,-8.87e-05,-0.0001553,-8.88e-05,-0.001290296,-3.23e-05,0.999771893,7.02e-05,0.00016698,0.000279941,0.000304505,0.000171583,-0.001321418,2.97e-05
VAL,LGC,2,VAL_LGC_2.png,1.63925625,1,1312.80125,0.012763626,1.44470269625,1.44476428375,1.4474557425,1.44464659625,1.44,1.44658813625,1157.447623,4.530465,0.998936435,1.003624265,0.999914746,0.999957372,1.00059976,1,-0.000651768,-0.000154455,0.000318702,-0.000120073,-6.05e-05,0.001153711,5.45e-05,-2.22e-16,0.000446197,0.000132754,-8.35e-05,-0.000135547,-9.68e-06,-0.001616327,-7.52e-06,2.22e-16,-0.000217647,6.61e-05,0.000186667,0.000307536,8.29e-05,-0.001397769,9.18e-05,0.999747722,-0.000203229,-2.98e-05,0.000195626,8.46e-05,-9e-05,-0.000977547,-9.81e-05
VAL,LGC,3,VAL_LGC_3.png,1.843753125,1,1476.53,0.00879218,1.53216819875,1.53219964125,1.53469917625,1.53214041875,1.52875,1.53384730125,1227.244067,4.8058325,0.99896548,1.003171934,0.999958958,0.999979479,1.000555385,1,-2.41e-05,-0.000125718,3.79e-05,-5.41e-05,-7.44e-06,0.001885943,-5.33e-06,-1.67e-16,1.15e-05,-9.02e-05,2.11e-05,0.000241043,2.03e-05,0.000125387,1.3e-05,1.11e-16,-0.000123153,-0.00016751,-5.03e-05,-0.000265965,-4.69e-05,0.000107691,9.16e-07,0.999761651,3.62e-06,-0.000127611,2.75e-06,3.18e-05,-7.04e-06,-0.001810968,3.22e-06
VAL,LGC,4,VAL_LGC_4.png,1.9499796875,1,1561.57375,0.011607246,1.57568754875,1.5757421925,1.5786643875,1.57563604,1.5725,1.57716381625,1262.230169,4.9428075,0.998981796,1.002980657,0.999930644,0.999965321,1.000951437,1,-1.95e-05,-0.000205007,1.59e-05,0.000257894,-1.64e-05,-0.001447612,6.21e-07,-1.67e-16,6.42e-05,-6.24e-05,-6.44e-05,8.56e-05,3.08e-05,-0.001072473,1.19e-06,0,3.48e-05,-2.17e-05,1.97e-05,-7.49e-05,-1.96e-05,-0.001046118,-3.87e-06,0.999854082,2.36e-05,7.22e-05,-1.16e-05,0.000217487,-2.33e-06,0.001402011,-7.43e-06
VAL,LGC,5,VAL_LGC_5.png,2.1201,1,1697.7025,0.014393786,1.642983615,1.64307047625,1.64579055875,1.64290026125,1.63875,1.64493635875,1315.949087,5.153595,0.999044297,1.003103251,0.999894272,0.999947135,1.00051929,1,4.94e-05,2.95e-05,6.31e-06,-0.000270191,-7.28e-06,-0.001861712,-5.68e-06,-6.94e-18,-3.85e-06,-1.41e-06,-1.74e-05,1.22e-05,5.89e-06,0.00020171,2.82e-06,3.47e-18,-2.25e-05,-1.43e-05,7.76e-06,-1.61e-05,8.79e-06,0.000196084,-1.53e-06,0.999805094,4.03e-05,-0.000216977,1.33e-06,-0.000303587,1.7e-05,0.001777055,5.08e-06
VAL,LGC,6,VAL_LGC_6.png,2.18588125,1,1750.41125,0.009836389,1.66827768875,1.66831968125,1.67087738875,1.66823897,1.665,1.66996493,1336.160544,5.2335475,0.999025229,1.002868726,0.999949661,0.99997483,1.000546394,1,-6.25e-05,-0.000139959,2.32e-05,0.000206015,-5.03e-06,-0.001400639,-1.15e-05,3.89e-16,-1.54e-05,-5.03e-05,-6.74e-05,8.39e-05,1.78e-05,-0.001253773,1.93e-05,-3.89e-16,0.000107732,-6.05e-06,7.07e-06,-6.14e-05,-1.24e-05,-0.001237664,7.53e-06,0.999861879,-3.18e-05,1.83e-05,-7.46e-06,0.000156864,-1.18e-05,0.001368455,-2.04e-05
VAL,LGC,7,VAL_LGC_7.png,2.558834375,1,2048.88375,0.012027389,1.8049956,1.80506250625,1.80777703625,1.80493194375,1.80125,1.806739565,1445.561828,5.6626575,0.999113542,1.002793364,0.999925869,0.999962934,1.000574223,1,-4.86e-05,8.61e-05,-2.23e-05,-0.000192508,1.17e-05,-0.001704735,-7.29e-07,-1.67e-16,-8.41e-05,7.93e-06,0.000106765,-3.95e-05,-3.38e-05,-0.000618044,-8.02e-07,1.67e-16,-1.05e-05,7.97e-06,-1.9e-05,3.41e-05,1.75e-05,-0.000614394,8.26e-06,0.999976092,-6.29e-05,-6.49e-05,3.79e-06,-0.000180809,-4.8e-06,0.001697093,-1.65e-05
VAL,LGC,8,VAL_LGC_8.png,2.707946875,1,2168.24,0.011195063,1.8568427625,1.8569023,1.85953833375,1.856785935,1.85375,1.85857892875,1486.943846,5.8256225,0.999131784,1.002686866,0.999935876,0.999967937,1.000516203,1,2.02e-05,4.63e-05,1.93e-06,-0.000194479,-5.77e-06,-0.001874976,-2.42e-06,9.45e-17,0.000224943,2.25e-06,-1.11e-05,4.14e-08,4.94e-05,-2.77e-05,-5.29e-05,-9.54e-17,-0.000249448,3.78e-06,1.55e-05,5.35e-07,3.96e-05,-2.63e-05,-1.2e-05,0.999812378,1.23e-05,-0.000195957,5.41e-06,-0.000238774,4.21e-06,0.001820716,1.35e-06
VAL,LGC,9,VAL_LGC_9.png,2.925253125,1,2342.17125,0.015701776,1.929908795,1.93002924625,1.93248423375,1.92979131125,1.92625,1.931729715,1545.436184,6.05477,0.999159434,1.002716162,0.999875186,0.999937591,1.000390592,1,0.000654802,-0.000400894,-0.000119309,5.66e-05,-3.59e-06,0.001393762,0.000130211,1.67e-16,7.17e-05,0.000103594,0.00017205,-0.000152857,-5.86e-06,-0.001149458,-8.06e-05,-1.11e-16,-0.000349001,6.04e-05,-7.15e-05,0.000144082,9.01e-05,-0.001146344,-6.86e-06,0.999270632,0.000479421,-0.000262803,-3.53e-06,4.42e-05,0.000131946,-0.001414904,3.39e-05
